company_name,industry,job_title,skills_required,experience_level,employment_type,location,posted_date,company_size,tools_preferred,salary_min,salary_max
Woods-Kelly,Retail,Data Scientist,"C++, Python, R, Excel",Entry,Internship,"Millerborough, AL",2024-06-05,Startup,KDB+,113739,165657
Moss-Jackson,Retail,Computer Vision Engineer,"LangChain, Pandas, TensorFlow, CUDA",Mid,Remote,"Christopherton, TM",2024-10-24,Startup,"LangChain, KDB+",64726,112277
Johnson and Sons,Education,NLP Engineer,"MLflow, Flask, AWS",Entry,Contract,"Joneschester, LK",2023-11-23,Startup,"PyTorch, MLflow, TensorFlow",47268,62862
Green Group,Automotive,Computer Vision Engineer,"SQL, AWS, Power BI, NumPy, Reinforcement Learning",Senior,Internship,"Ramostown, BI",2025-06-19,Startup,FastAPI,119846,164604
Evans LLC,Automotive,AI Product Manager,"Pandas, SQL, Power BI, Python, Reinforcement Learning",Senior,Internship,"Port Kelsey, KI",2023-11-05,Mid,"PyTorch, TensorFlow, Scikit-learn",66099,141841
Chambers PLC,Tech,AI Product Manager,"NumPy, Power BI, LangChain, GCP, Python",Mid,Contract,"Johnberg, VC",2024-03-31,Mid,"PyTorch, MLflow, BigQuery",72050,137819
Conner-Young,Education,AI Product Manager,"Azure, Python, FastAPI",Entry,Remote,"Port Amandaburgh, GA",2025-03-24,Startup,BigQuery,90239,170922
Morris LLC,Automotive,Data Analyst,"Scikit-learn, LangChain, Hugging Face, SQL, Azure, MLflow",Senior,Remote,"East Barrybury, GA",2024-08-02,Large,"LangChain, FastAPI, KDB+",95581.5,151635
Hawkins-Valdez,Finance,ML Engineer,"CUDA, SQL, NumPy, Python, Flask",Senior,Internship,"Roseton, VE",2024-07-18,Startup,FastAPI,110310,161110
Vance-Mcdowell,Finance,NLP Engineer,"LangChain, CUDA, Excel, Flask",Entry,Internship,"Port Jessica, SG",2024-05-12,Mid,"MLflow, FastAPI",95581.5,151635
Wright LLC,Finance,Quant Researcher,"AWS, Flask, MLflow, FastAPI, Azure",Senior,Remote,"Sandrastad, IE",2024-04-11,Large,"LangChain, KDB+",149975,199905
Silva LLC,Automotive,Data Analyst,"CUDA, Hugging Face, SQL, GCP, C++, Python",Mid,Internship,"Lewisburgh, BF",2025-08-17,Mid,"PyTorch, BigQuery",82338,95759
"Sanders, Rodriguez and Meyers",Finance,Quant Researcher,"SQL, LangChain, Hugging Face, R",Mid,Remote,"Port Kathyton, GQ",2024-11-28,Mid,FastAPI,76484,111575
Allen Group,E-commerce,NLP Engineer,"TensorFlow, NumPy, GCP, Power BI, FastAPI",Entry,Internship,"Williamsville, MG",2024-09-22,Mid,PyTorch,95581.5,151635
Webb LLC,Education,ML Engineer,"C++, Hugging Face, Excel, GCP, TensorFlow, FastAPI",Mid,Contract,"Sylviaport, BS",2024-10-10,Mid,"KDB+, MLflow",63255,108370
Harris-Brown,E-commerce,ML Engineer,"FastAPI, Azure, MLflow, PyTorch, Excel",Entry,Remote,"East Kimberlyview, ME",2025-07-24,Startup,PyTorch,129625,193613
Stewart-White,Retail,Data Scientist,"Azure, MLflow, Hugging Face, GCP, Keras",Entry,Remote,"West Amber, HU",2025-07-25,Large,"Scikit-learn, PyTorch, LangChain",136317,195529
"Roberts, Ford and Davis",Retail,AI Product Manager,"Power BI, MLflow, SQL, AWS",Mid,Full-time,"Hannahfort, LS",2024-06-30,Mid,"KDB+, LangChain, BigQuery",148403,180220
"Garcia, Blake and Gardner",Healthcare,Data Analyst,"NumPy, R, Excel, Scikit-learn, Flask, LangChain",Senior,Full-time,"North Cassandraborough, FJ",2024-04-17,Large,KDB+,95581.5,151635
Brown-Fisher,Automotive,ML Engineer,"C++, Excel, TensorFlow, PyTorch",Entry,Internship,"Lake Ruthport, JM",2025-02-24,Startup,FastAPI,143807,217646
Hayes PLC,Finance,Computer Vision Engineer,"Pandas, C++, Power BI, Hugging Face, Excel",Entry,Internship,"South Michael, GE",2024-07-01,Mid,"KDB+, PyTorch, BigQuery",83586,94806
"Mccoy, Barnes and Mercado",Automotive,NLP Engineer,"Pandas, Scikit-learn, NumPy",Senior,Full-time,"New Richardburgh, PS",2025-03-25,Startup,FastAPI,147570,214641
Herrera and Sons,Healthcare,ML Engineer,"MLflow, AWS, Flask, SQL, Azure",Entry,Internship,"East Michael, AO",2024-10-23,Mid,"LangChain, KDB+",130398,148438
Smith-Hansen,Retail,Quant Researcher,"Excel, Reinforcement Learning, TensorFlow, SQL",Mid,Full-time,"North Michellestad, ME",2023-11-23,Startup,"TensorFlow, FastAPI, MLflow",126850,203760
"Goodman, Watson and Norman",Tech,AI Researcher,"PyTorch, R, Python, GCP, CUDA, C++",Senior,Internship,"Davidshire, ES",2024-04-10,Large,KDB+,63340,150275
Bennett PLC,Tech,Data Analyst,"Flask, LangChain, Reinforcement Learning",Senior,Internship,"West Jennifertown, NP",2024-08-19,Mid,"TensorFlow, LangChain",52424,142189
Brady-Jones,Education,Quant Researcher,"LangChain, GCP, Keras",Mid,Contract,"Jasonbury, HT",2024-02-24,Large,TensorFlow,95581.5,151635
Walker and Sons,Finance,AI Product Manager,"MLflow, PyTorch, SQL, TensorFlow",Mid,Internship,"New Amber, CL",2025-03-05,Startup,"MLflow, LangChain, FastAPI",134795,155851
Bautista LLC,Automotive,Data Scientist,"GCP, Pandas, AWS, Azure, Flask, PyTorch",Entry,Contract,"Douglasberg, FM",2025-05-05,Startup,"FastAPI, KDB+, MLflow",95581.5,151635
Church Ltd,Healthcare,ML Engineer,"GCP, Pandas, Python",Entry,Contract,"Jonathanland, FJ",2024-01-17,Mid,"KDB+, LangChain, MLflow",95581.5,151635
Smith LLC,Healthcare,ML Engineer,"SQL, Pandas, CUDA, LangChain, Excel",Senior,Full-time,"New Sandraland, ZM",2023-12-08,Large,"TensorFlow, MLflow",80600,149326
"Acosta, Williams and Carter",Finance,AI Researcher,"Python, R, Reinforcement Learning, Azure",Mid,Internship,"Wrightland, ZW",2024-01-16,Mid,"Scikit-learn, FastAPI",60613,118504
"Thornton, Pittman and Torres",Automotive,Computer Vision Engineer,"AWS, TensorFlow, CUDA, MLflow",Senior,Remote,"Bowmanton, AG",2025-01-14,Mid,"BigQuery, Scikit-learn",91079,126568
Palmer Group,Retail,Quant Researcher,"R, SQL, CUDA, Keras, AWS, Power BI",Mid,Contract,"Samanthahaven, CA",2024-02-02,Startup,"KDB+, LangChain",52422,78293
"Smith, Hancock and Bolton",Education,Data Scientist,"Pandas, NumPy, TensorFlow, SQL",Entry,Internship,"Nicholasville, KN",2024-05-23,Mid,"KDB+, LangChain, BigQuery",81248,174992
"Shaffer, Wright and Morgan",Automotive,AI Product Manager,"Power BI, SQL, TensorFlow",Senior,Internship,"South Richardtown, KP",2025-05-02,Mid,Scikit-learn,95581.5,151635
Proctor Inc,Tech,Data Scientist,"Excel, Scikit-learn, PyTorch, C++, GCP",Mid,Internship,"Jeffreystad, GW",2024-06-30,Large,KDB+,78872,152783
"Ross, Barrera and Winters",E-commerce,NLP Engineer,"LangChain, SQL, NumPy, R, Power BI",Entry,Internship,"East Seanview, GB",2023-10-07,Startup,"FastAPI, MLflow, Scikit-learn",122910,136367
"Hernandez, Collins and Smith",Retail,Data Scientist,"Scikit-learn, Reinforcement Learning, TensorFlow",Entry,Internship,"Lake Jessicaside, DJ",2025-09-19,Mid,"KDB+, LangChain",100828,139590
"Nguyen, Shaffer and Thompson",Automotive,Computer Vision Engineer,"SQL, CUDA, Reinforcement Learning, Excel",Mid,Internship,"South Danielle, TH",2024-03-12,Startup,"BigQuery, TensorFlow, KDB+",52943,87718
"Nguyen, Brown and Edwards",Finance,Data Scientist,"TensorFlow, MLflow, SQL, PyTorch",Mid,Full-time,"Port Victoriaburgh, PG",2024-04-04,Large,MLflow,84079,116621
Bartlett Group,Healthcare,Quant Researcher,"Scikit-learn, TensorFlow, Azure, CUDA",Senior,Full-time,"West Robin, PY",2024-08-02,Large,"KDB+, TensorFlow, Scikit-learn",77131,153891
"Moran, Ellis and Vargas",E-commerce,AI Product Manager,"Pandas, AWS, GCP, SQL, Azure, NumPy",Mid,Contract,"New Sethtown, ZW",2025-01-03,Mid,TensorFlow,64114,80848
"Porter, Hernandez and Hall",Tech,AI Product Manager,"MLflow, Keras, Scikit-learn, R, GCP",Mid,Full-time,"Ambertown, LV",2024-03-27,Startup,"KDB+, TensorFlow, FastAPI",94393,193885
Hunter and Sons,Automotive,AI Product Manager,"SQL, Scikit-learn, Reinforcement Learning, MLflow, Pandas",Senior,Full-time,"South Jasonville, RO",2024-11-21,Large,"MLflow, LangChain",130255,148523
Moore Ltd,Education,ML Engineer,"NumPy, GCP, SQL, CUDA, PyTorch",Mid,Internship,"Garyville, BZ",2024-10-28,Mid,"BigQuery, MLflow, TensorFlow",116734,214659
Diaz-Gray,Education,AI Product Manager,"Excel, GCP, C++, NumPy, Hugging Face",Senior,Full-time,"West Justinside, KI",2024-09-09,Mid,"PyTorch, BigQuery, Scikit-learn",148619,160261
Poole-Scott,Education,Data Analyst,"MLflow, LangChain, Excel, C++",Entry,Contract,"Kellyhaven, GQ",2025-07-20,Mid,"Scikit-learn, BigQuery",95762,123849
"Bishop, Finley and Duran",Healthcare,Computer Vision Engineer,"C++, CUDA, Keras, Excel",Entry,Contract,"South Meganfort, CZ",2025-05-03,Mid,"PyTorch, LangChain, MLflow",144929,213298
Rivera Group,Healthcare,AI Product Manager,"CUDA, Pandas, MLflow, Azure, Flask",Entry,Full-time,"Port Jennifer, CF",2023-12-20,Mid,"MLflow, FastAPI, Scikit-learn",64077,123461
Blanchard LLC,E-commerce,Data Scientist,"LangChain, Python, Excel, C++, FastAPI",Entry,Internship,"North Robertberg, CL",2025-03-17,Startup,"LangChain, KDB+",84270,128757
"Herman, Rivera and Gonzalez",Retail,Data Analyst,"AWS, Reinforcement Learning, Azure, Python, TensorFlow",Mid,Remote,"East Jessica, PG",2025-02-03,Mid,"Scikit-learn, LangChain, BigQuery",134675,230472
"Mcmillan, Jensen and Olson",Tech,AI Product Manager,"Reinforcement Learning, Keras, R, MLflow, Power BI, Flask",Entry,Full-time,"Rachelmouth, EG",2025-01-09,Startup,LangChain,60301,147093
"Mcbride, Davenport and Kidd",Tech,Data Scientist,"Keras, NumPy, GCP",Senior,Full-time,"Port Leahland, GQ",2025-02-09,Mid,"LangChain, Scikit-learn",80142,137381
"Lane, Diaz and Khan",Automotive,AI Researcher,"AWS, Flask, SQL, Keras, Excel",Entry,Contract,"Melaniemouth, RS",2024-08-30,Startup,"MLflow, PyTorch",139587,157245
Taylor LLC,Tech,AI Researcher,"TensorFlow, Reinforcement Learning, C++, Power BI, LangChain",Entry,Full-time,"Lopezfurt, AD",2025-08-01,Large,"TensorFlow, LangChain",95581.5,151635
"Moss, Simmons and Elliott",Finance,ML Engineer,"Power BI, Azure, Hugging Face, Python, C++, R",Entry,Contract,"Matthewville, US",2025-08-30,Large,"LangChain, TensorFlow, MLflow",95581.5,151635
"Crane, Robles and Arias",Automotive,ML Engineer,"TensorFlow, Reinforcement Learning, SQL, NumPy, Python",Entry,Contract,"New Michaelmouth, KR",2024-06-01,Mid,"FastAPI, TensorFlow",85552,135909
Martinez-Fuller,Finance,Data Scientist,"Scikit-learn, GCP, NumPy, Flask, Excel, AWS",Entry,Remote,"Ruizbury, NZ",2024-03-23,Startup,"FastAPI, Scikit-learn",78016,138883
Wood-Johnson,Finance,AI Researcher,"AWS, NumPy, LangChain, Scikit-learn, FastAPI",Senior,Remote,"Gailland, SK",2023-10-03,Mid,"TensorFlow, Scikit-learn, PyTorch",132214,163110
Martin Group,Retail,ML Engineer,"CUDA, Power BI, LangChain, Scikit-learn",Entry,Full-time,"Lake Nicole, GT",2024-04-30,Mid,"BigQuery, MLflow",139424,155189
"Morrison, Wallace and Wade",Retail,AI Researcher,"PyTorch, Power BI, Pandas, Scikit-learn",Mid,Internship,"East Cheryl, PG",2023-12-21,Startup,"MLflow, LangChain, Scikit-learn",77201,136368
"Villa, Hall and Bishop",Automotive,Data Analyst,"LangChain, Power BI, AWS, TensorFlow",Mid,Contract,"New Garytown, FI",2024-10-21,Startup,MLflow,53641,106882
Kennedy-Davis,E-commerce,Data Scientist,"Keras, Python, Power BI, GCP",Entry,Internship,"East Jessicaport, CG",2025-02-02,Mid,"BigQuery, FastAPI, PyTorch",54875,88396
Anderson Group,E-commerce,Data Scientist,"LangChain, Pandas, Scikit-learn, MLflow, C++",Mid,Contract,"Turnerville, AO",2024-01-27,Mid,PyTorch,71896,133164
"Price, Moore and Kidd",E-commerce,Computer Vision Engineer,"FastAPI, Excel, Scikit-learn, Pandas, PyTorch, Hugging Face",Entry,Full-time,"Rachelview, KH",2024-02-09,Startup,"TensorFlow, BigQuery, MLflow",54199,121277
Carroll Group,Automotive,NLP Engineer,"C++, AWS, NumPy, SQL",Mid,Remote,"West Monica, TT",2025-05-19,Startup,KDB+,58539,140291
Woods-French,Healthcare,AI Researcher,"TensorFlow, Python, Reinforcement Learning",Mid,Internship,"South Meagan, GQ",2023-12-31,Startup,"PyTorch, Scikit-learn, KDB+",95581.5,151635
"Miller, Gonzalez and Kelly",Retail,Data Scientist,"Reinforcement Learning, Flask, C++, Azure, Hugging Face, Python",Entry,Remote,"Kellyborough, PA",2023-10-26,Startup,Scikit-learn,107193,148881
Marquez and Sons,Education,Data Scientist,"TensorFlow, Scikit-learn, NumPy, C++, Hugging Face",Entry,Contract,"Pooleview, NL",2025-03-31,Large,"FastAPI, MLflow, PyTorch",101110,159072
"Anderson, Lucas and Clements",Retail,Quant Researcher,"SQL, AWS, TensorFlow",Entry,Full-time,"West Bethanyshire, HU",2024-09-21,Mid,PyTorch,136800,229914
Williams LLC,Tech,ML Engineer,"Hugging Face, Pandas, SQL",Mid,Internship,"East Nicholeberg, DE",2025-03-25,Startup,"MLflow, PyTorch, BigQuery",124475,186998
Braun Inc,Tech,Data Scientist,"NumPy, TensorFlow, Pandas, CUDA",Senior,Internship,"Brooksbury, GE",2024-08-08,Large,BigQuery,132410,187652
"Williams, Carter and Wilson",E-commerce,NLP Engineer,"C++, Pandas, Keras, Excel",Mid,Full-time,"Juliemouth, TR",2023-11-06,Startup,"MLflow, KDB+, Scikit-learn",112490,177711
Howard-Farrell,Retail,Quant Researcher,"Scikit-learn, Excel, Flask",Entry,Internship,"Fishershire, CN",2025-07-11,Mid,FastAPI,87425,138303
Richards-Adams,Finance,Quant Researcher,"FastAPI, C++, NumPy, Flask",Entry,Internship,"Lake Kathleenville, AZ",2024-08-17,Large,"MLflow, LangChain",67422,166675
Olson Group,Automotive,Data Scientist,"SQL, Pandas, Flask",Senior,Remote,"East Nicole, GA",2025-01-25,Mid,"FastAPI, MLflow, BigQuery",60629,128509
Montgomery-Castro,Automotive,Data Analyst,"MLflow, Keras, C++, Reinforcement Learning",Mid,Internship,"South Michelebury, AO",2023-10-05,Startup,"LangChain, FastAPI",141368,183538
Cannon Group,E-commerce,AI Researcher,"Hugging Face, Flask, Pandas, SQL, TensorFlow",Entry,Remote,"Port Andrew, AF",2024-10-03,Startup,"FastAPI, MLflow, LangChain",125075,152579
Green-Freeman,Education,Data Scientist,"GCP, LangChain, Scikit-learn, NumPy, Pandas",Mid,Full-time,"East Edwardtown, ME",2024-01-11,Mid,"FastAPI, TensorFlow, MLflow",140375,183044
"Sullivan, Spencer and Holland",Finance,Quant Researcher,"FastAPI, TensorFlow, Hugging Face, SQL, Azure, Reinforcement Learning",Entry,Internship,"Thomasfurt, VA",2023-09-28,Startup,"Scikit-learn, MLflow, FastAPI",58608,145805
Barrett-Smith,Automotive,ML Engineer,"SQL, R, AWS",Mid,Internship,"Jessicachester, MW",2025-01-01,Mid,"MLflow, BigQuery, FastAPI",51771,68566
Vargas-Rodriguez,Automotive,Data Analyst,"AWS, C++, Hugging Face, Azure, TensorFlow, MLflow",Senior,Internship,"Debraton, GT",2024-06-20,Startup,"KDB+, BigQuery",87515,163452
Gaines-Vance,Healthcare,NLP Engineer,"TensorFlow, MLflow, CUDA",Entry,Remote,"Cervantesmouth, FM",2025-09-10,Large,"MLflow, TensorFlow, FastAPI",140185,236787
"Brown, Fox and Stokes",Healthcare,AI Product Manager,"Flask, CUDA, Hugging Face, MLflow, FastAPI",Mid,Internship,"Marcmouth, CN",2025-08-13,Mid,LangChain,52829,97624
Sparks-Garrison,E-commerce,Data Analyst,"FastAPI, GCP, C++",Entry,Internship,"New Andreastad, RO",2024-07-12,Mid,"FastAPI, LangChain",132513,230452
"Payne, Swanson and Silva",Automotive,AI Researcher,"TensorFlow, Power BI, Scikit-learn, Excel",Entry,Remote,"North Jamesside, YE",2024-12-22,Mid,"FastAPI, PyTorch",84716,150208
Vargas-Edwards,Tech,Data Analyst,"Power BI, GCP, Scikit-learn",Entry,Internship,"Adamtown, CH",2025-01-08,Large,"KDB+, LangChain",57691,76940
Huynh PLC,Retail,AI Researcher,"R, Keras, Azure, AWS, NumPy, GCP",Entry,Internship,"West Christopher, QA",2024-12-15,Mid,"LangChain, BigQuery, Scikit-learn",124533,208279
"Griffith, Ruiz and Jones",Healthcare,AI Product Manager,"SQL, FastAPI, CUDA, GCP, LangChain, Scikit-learn",Entry,Internship,"West Christina, BW",2024-04-14,Startup,TensorFlow,91133,152395
Flowers Group,Healthcare,Computer Vision Engineer,"NumPy, R, CUDA, MLflow, Azure, PyTorch",Mid,Full-time,"New Robin, NR",2023-10-03,Mid,"BigQuery, KDB+",45671,90178
Deleon PLC,Finance,ML Engineer,"Power BI, Keras, TensorFlow",Senior,Contract,"North Brendaview, SE",2023-11-17,Mid,"LangChain, Scikit-learn",82804,138709
Mcintosh-Mitchell,Tech,ML Engineer,"Keras, Power BI, TensorFlow, Excel, SQL, LangChain",Entry,Internship,"North John, YE",2024-07-28,Mid,"MLflow, Scikit-learn, FastAPI",91610,132764
Davies-Valentine,Finance,Quant Researcher,"AWS, GCP, Keras, SQL, Pandas, Python",Entry,Full-time,"Dixontown, BY",2024-08-29,Large,"PyTorch, Scikit-learn",68574,108118
Collins Group,Retail,NLP Engineer,"Azure, PyTorch, LangChain",Entry,Internship,"Brandonville, FR",2024-01-07,Mid,"LangChain, MLflow",95581.5,151635
Fields-Ramirez,Education,AI Researcher,"Hugging Face, LangChain, R, Python, SQL, TensorFlow",Entry,Internship,"East Alexandratown, BT",2024-03-16,Mid,BigQuery,86589,178866
"Christensen, Heath and Lopez",Education,Quant Researcher,"SQL, Scikit-learn, GCP",Mid,Internship,"Mcdonaldview, TT",2024-03-07,Startup,"LangChain, BigQuery, MLflow",93501,130789
Cross-Randall,E-commerce,Data Analyst,"Hugging Face, R, TensorFlow",Entry,Contract,"Brianshire, KE",2024-12-09,Large,"TensorFlow, LangChain",57590,85895
Brewer-Bruce,Finance,Quant Researcher,"TensorFlow, Hugging Face, CUDA, PyTorch",Entry,Contract,"New Donnaville, AG",2024-06-28,Mid,"BigQuery, MLflow, FastAPI",142708,157155
"Henderson, Owens and Jones",Finance,AI Product Manager,"FastAPI, Python, MLflow, R, TensorFlow",Mid,Internship,"Sullivanborough, TH",2024-03-11,Startup,"Scikit-learn, LangChain",140520,166869
Lee-Davis,Tech,AI Product Manager,"Excel, Pandas, Power BI, NumPy, Reinforcement Learning, C++",Senior,Internship,"Gonzalesland, UZ",2024-03-25,Startup,Scikit-learn,93505,152567
Watson-Fernandez,Healthcare,Data Scientist,"Flask, Python, C++, Azure",Entry,Full-time,"Mosesland, FJ",2024-06-17,Startup,"FastAPI, Scikit-learn",137712,152412
"Benjamin, Jordan and Larsen",Education,AI Product Manager,"Scikit-learn, MLflow, Keras, Hugging Face",Senior,Full-time,"New Angelton, SM",2024-04-16,Mid,"PyTorch, FastAPI",100873,150041
Moore LLC,Finance,Data Scientist,"R, NumPy, Hugging Face, TensorFlow",Entry,Internship,"Willischester, ET",2024-10-06,Startup,KDB+,86191,119779
"Wilson, Roberts and Frank",E-commerce,Data Scientist,"PyTorch, Azure, Flask, SQL, Power BI, TensorFlow",Entry,Full-time,"Port Amy, FJ",2023-12-15,Startup,"Scikit-learn, LangChain",107174,166157
"Hernandez, Long and Hutchinson",E-commerce,AI Product Manager,"GCP, C++, R, Pandas",Senior,Remote,"Hayesport, CH",2025-06-14,Startup,"MLflow, KDB+, LangChain",95581.5,151635
"Huffman, Larson and Bryant",Healthcare,NLP Engineer,"NumPy, C++, Python",Entry,Contract,"South Devinburgh, GM",2025-09-07,Startup,"BigQuery, KDB+",44626,114268
"Perry, Ford and Watson",Finance,Quant Researcher,"Python, Excel, Scikit-learn, TensorFlow, R",Mid,Remote,"Leeville, IR",2024-06-06,Startup,"LangChain, BigQuery, FastAPI",42058,140636
Coffey Ltd,E-commerce,AI Researcher,"LangChain, GCP, NumPy",Entry,Full-time,"Port Aprilhaven, MD",2025-07-03,Large,"PyTorch, LangChain",83416,151596
Lewis-Suarez,Education,AI Researcher,"Power BI, Pandas, Python, Keras, NumPy, Scikit-learn",Mid,Full-time,"New Brandonfurt, TJ",2023-10-29,Large,PyTorch,136005,149348
Dominguez Ltd,Education,NLP Engineer,"Flask, Pandas, Power BI, Scikit-learn, R",Senior,Contract,"Gillbury, LR",2025-01-31,Mid,"PyTorch, MLflow",142696,209766
Bennett-Peck,Finance,AI Researcher,"PyTorch, Hugging Face, GCP, Keras, TensorFlow, AWS",Mid,Remote,"Port Ernest, PY",2023-09-23,Mid,Scikit-learn,57791,105397
Jones and Sons,Finance,AI Researcher,"Azure, LangChain, Flask",Entry,Contract,"New Loriberg, OM",2024-03-05,Mid,LangChain,117104,212155
Benton-Dunn,Retail,Data Scientist,"AWS, GCP, PyTorch, Keras, TensorFlow",Entry,Full-time,"Justinmouth, BF",2024-01-17,Startup,"Scikit-learn, MLflow, KDB+",81222,98058
Martin and Sons,Automotive,Data Analyst,"Azure, Keras, R, Scikit-learn, TensorFlow, PyTorch",Entry,Contract,"South Lauraport, MC",2025-02-20,Startup,"PyTorch, KDB+",136657,216930
"Washington, Allen and Watts",Finance,Computer Vision Engineer,"AWS, TensorFlow, R",Mid,Contract,"Kyliehaven, UY",2025-04-19,Startup,"FastAPI, KDB+",117119,152032
"Bauer, Hayden and Reynolds",Healthcare,NLP Engineer,"NumPy, Excel, GCP, CUDA, AWS",Entry,Full-time,"Matthewland, FI",2024-02-27,Large,"Scikit-learn, PyTorch",98470,180907
Williams-Hamilton,Tech,AI Researcher,"PyTorch, Keras, R, SQL, Reinforcement Learning, Excel",Entry,Internship,"West Sierra, LT",2024-01-12,Mid,FastAPI,120633,178318
Walters LLC,Healthcare,Quant Researcher,"SQL, Excel, Flask, Scikit-learn",Senior,Internship,"Lake Rodneyfort, BF",2024-08-23,Startup,BigQuery,95461,193480
"Davis, Hanson and Gaines",Automotive,AI Researcher,"Flask, Keras, TensorFlow, CUDA, C++",Mid,Contract,"Lake Phyllisburgh, MY",2023-10-04,Mid,"TensorFlow, FastAPI, BigQuery",102123,122063
"Garcia, Smith and James",Automotive,ML Engineer,"NumPy, Pandas, SQL, GCP, FastAPI",Mid,Full-time,"Lake Gregoryshire, CD",2024-01-15,Mid,"MLflow, LangChain",95581.5,151635
Williams PLC,Retail,Data Analyst,"SQL, Power BI, Excel, Reinforcement Learning",Entry,Contract,"Vanessafurt, TG",2025-06-29,Large,"FastAPI, KDB+",128138,226109
Powell Ltd,Automotive,Computer Vision Engineer,"NumPy, CUDA, TensorFlow, Pandas, Hugging Face, PyTorch",Senior,Remote,"New Donaldmouth, BG",2024-02-26,Mid,"Scikit-learn, KDB+, LangChain",97139,170282
Bell-Miles,Tech,Computer Vision Engineer,"R, Excel, NumPy, CUDA, Azure, TensorFlow",Senior,Internship,"East Heather, MX",2025-04-15,Mid,Scikit-learn,137454,165905
Cohen-Gardner,Education,AI Product Manager,"SQL, MLflow, Keras",Mid,Remote,"Bairdmouth, BF",2024-07-08,Large,MLflow,42730,121043
"Smith, Shepherd and Dawson",Education,NLP Engineer,"Keras, FastAPI, Flask",Senior,Remote,"East Matthew, KW",2025-07-10,Startup,MLflow,121082,204983
Dennis-West,Automotive,AI Researcher,"LangChain, SQL, Hugging Face",Mid,Remote,"West Carolberg, KW",2025-08-20,Mid,MLflow,94437,128266
"Cortez, Kirby and Harris",Finance,Computer Vision Engineer,"TensorFlow, Excel, NumPy, Reinforcement Learning, MLflow, Power BI",Senior,Remote,"North George, LC",2024-03-31,Startup,BigQuery,67907,106672
Martin and Sons,Automotive,Data Scientist,"Hugging Face, Pandas, Scikit-learn, Flask",Entry,Internship,"Mitchelltown, GE",2025-04-01,Mid,KDB+,95122,188498
Jones-Romero,Education,Quant Researcher,"AWS, Scikit-learn, TensorFlow, FastAPI, Power BI, Azure",Entry,Internship,"Coxstad, PE",2024-07-20,Mid,PyTorch,141020,194689
"Mercer, Robinson and Rhodes",E-commerce,Data Scientist,"LangChain, FastAPI, R",Senior,Internship,"Jacksonborough, BH",2025-04-22,Large,MLflow,133090,175529
White-Gomez,Education,Data Analyst,"TensorFlow, SQL, Reinforcement Learning, AWS, PyTorch, Python",Senior,Contract,"Carlaton, BR",2025-07-24,Large,"PyTorch, TensorFlow",96867,163829
Morgan-Phillips,E-commerce,Data Analyst,"Scikit-learn, Reinforcement Learning, NumPy, MLflow, Flask, Hugging Face",Entry,Full-time,"Rodriguezchester, SK",2025-03-18,Mid,FastAPI,133145,195186
Bailey-York,Education,AI Researcher,"FastAPI, Azure, NumPy, GCP, Flask",Mid,Internship,"Brittanymouth, ME",2024-11-05,Large,FastAPI,44966,73083
Rodriguez-Walters,Healthcare,AI Product Manager,"Flask, TensorFlow, Python, R, Azure, SQL",Senior,Full-time,"Travistown, PS",2024-01-18,Mid,"PyTorch, Scikit-learn, KDB+",113803,173152
Ortiz PLC,E-commerce,AI Researcher,"Keras, GCP, Scikit-learn, MLflow, NumPy",Entry,Full-time,"Rochastad, BB",2025-02-20,Mid,"LangChain, PyTorch",96732,192601
Green-Moore,Retail,Data Analyst,"R, NumPy, PyTorch",Senior,Full-time,"East Valerieville, KE",2024-01-09,Startup,PyTorch,137258,223013
"Underwood, Scott and Norris",Education,Data Scientist,"NumPy, Pandas, LangChain, MLflow, TensorFlow, R",Senior,Remote,"Davisville, GQ",2024-12-19,Startup,"BigQuery, TensorFlow, MLflow",129628,217643
Gonzalez-Gordon,Education,Data Scientist,"MLflow, LangChain, Power BI, CUDA, SQL, TensorFlow",Senior,Full-time,"Jodyville, BA",2025-02-18,Large,"Scikit-learn, LangChain",98960,171179
Gilmore Group,Tech,Quant Researcher,"Scikit-learn, R, Power BI",Mid,Full-time,"North William, FJ",2024-06-05,Large,"PyTorch, LangChain, BigQuery",98270,193839
Scott-Jones,Education,Data Scientist,"Keras, NumPy, Reinforcement Learning, Scikit-learn, Azure, Pandas",Mid,Internship,"Haneyview, KR",2025-03-28,Large,"PyTorch, BigQuery",112886,206291
Johnson-Peters,Tech,NLP Engineer,"LangChain, GCP, NumPy, Python, R",Entry,Contract,"North Daniel, AZ",2025-04-18,Startup,LangChain,74842,147593
"Black, Baker and Sanchez",Healthcare,AI Researcher,"FastAPI, Flask, Power BI, Reinforcement Learning, PyTorch",Entry,Full-time,"West Josebury, IS",2024-01-19,Startup,MLflow,132532,204945
Durham Ltd,Education,Data Analyst,"SQL, MLflow, Keras, TensorFlow, NumPy, Reinforcement Learning",Entry,Contract,"Lake Marychester, CU",2025-09-05,Startup,"KDB+, MLflow",85034,163334
Lee LLC,Healthcare,AI Researcher,"AWS, NumPy, TensorFlow, Hugging Face, CUDA, Power BI",Senior,Full-time,"South Feliciafurt, SA",2024-01-02,Mid,"PyTorch, FastAPI, Scikit-learn",69810,147152
